subplot_id,nested_subplot,Photo#,gap_fraction,openness
D04E,0,2500,28.69,21.86
D04E,1,2501,49.37,35.65
D04E,3,2502,13.86,11.08
D04E,5,2503,39.65,28.33
D04E,7,2504,23.05,17.75
D04W,0,2506,22.38,18.7
D04W,1,2507,34.61,25.37
D04W,3,2508,41.13,29.37
D04W,5,2509,36.77,26.6
D04W,7,2510,38.03,27.62
D02E,0,2512,26.38,20.03
D02E,1,2513,34.69,26.2
D02E,3,2514,14.82,12.01
D02E,5,2515,24.75,19.76
D02E,7,2516,23.05,17.62
D02W,0,2518,19.73,14.65
D02W,1,2519,32.24,23.17
D02W,3,2520,6.97,5.86
D02W,5,2521,32.35,23.7
D02W,7,2522,35.9,26.55
C01W,0,2524,10.52,8.16
C01W,1,2525,7.95,5.89
C01W,3,2526,8.36,5.91
C01W,5,2527,8.75,6.52
C01W,7,2528,12.01,9.4
C01E,0,2530,7.74,5.94
C01E,1,2531,6.24,4.8
C01E,3,2532,8.3,6.47
C01E,5,2533,5.59,4.18
C01E,7,2534,7.54,5.77
C02E,0,2536,6.88,5.74
C02E,1,2537,11.86,9.08
C02E,3,2538,8.13,5.95
C02E,5,2539,10.09,8.07
C02E,7,2540,7.17,5.03
C02W,0,2542,10.76,7.57
C02W,1,2543,11.14,8.4
C02W,3,2544,6.14,5.29
C02W,5,2545,11.91,8.8
C02W,7,2546,4.93,5.08
C03W,0,2548,8.69,6.88
C03W,1,2549,17.69,13
C03W,3,2550,5.92,4.96
C03W,5,2551,7.91,6.39
C03W,7,2552,5.1,4.25
C03E,0,2554,15.2,11.6
C03E,1,2555,16.18,12.87
C03E,3,2556,22.89,16.89
C03E,5,2557,20.2,14.96
C03E,7,2558,13.85,9.31
C04W,0,2560,9.97,7.58
C04W,1,2561,10.37,8.36
C04W,3,2562,9.02,7.91
C04W,5,2563,9.54,7.23
C04W,7,2564,8.16,7.11
C04E,0,2566,20.85,16.27
C04E,1,2567,23.82,16.61
C04E,3,2568,25.76,18.25
C04E,5,2569,7.45,6.77
C04E,7,2570,15.12,10.98
D03E,0,2572,16.53,12.77
D03E,1,2573,22.45,16.9
D03E,3,2574,17.31,13.31
D03E,5,2575,20.82,14.8
D03E,7,2576,13.2,10.82
D03W,1,2578,23.61,17.69
D03W,3,2579,6.24,5.57
D03W,5,2580,4.54,4.12
D03W,7,2581,17.97,14.07
D01E,0,2583,11.22,9.16
D01E,1,2584,13.84,10.29
D01E,3,2585,10.24,8.58
D01E,5,2586,12.8,10.46
D01E,7,2587,14.31,11.56
D01W,0,2589,13.64,10.5
D01W,1,2590,12.21,9.44
D01W,3,2591,13.42,10.76
D01W,5,2592,13.61,10.28
D01W,7,2593,17.55,13.65
B02E,0,2595,5.05,3.88
B02E,1,2596,8.15,6.03
B02E,3,2597,7.03,5.13
B02E,5,2598,3.67,2.7
B02E,7,2599,7.91,5.99
B02W,0,2601,16.14,11.61
B02W,1,2602,22.59,15.91
B02W,3,2603,9.46,6.9
B02W,5,2604,16.85,11.74
B02W,7,2605,21.47,15.04
B01W,0,2607,2.95,2.11
B01W,1,2608,4.28,3.33
B01W,3,2609,5.35,3.76
B01W,5,2610,5.46,4.22
B01W,7,2611,4.16,3.13
B01E,0,2613,5.48,4.1
B01E,1,2614,10.29,7.19
B01E,3,2615,10.55,7.72
B01E,5,2616,6.31,4.92
B01E,7,2617,5.87,4.41
B03W,0,2619,7.67,5.55
B03W,1,2620,16.64,11.42
B03W,3,2621,6.19,4.57
B03W,5,2623,13.68,9.71
B03W,7,2624,6.7,4.8
B03E,0,2626,7.27,5.45
B03E,1,2627,8.5,6.31
B03E,3,2628,8.65,6.28
B03E,5,2629,6.14,4.62
B03E,7,2630,5.91,4.55
B04W,0,2631,11,8.02
B04W,1,2633,8.35,6.15
B04W,3,2634,10.63,7.85
B04W,5,2635,9.02,6.72
B04W,7,2636,5.06,3.66
B04E,0,2638,9.79,7.17
B04E,1,2639,9.98,7.79
B04E,3,2640,9.53,7.13
B04E,5,2641,8.21,6.23
B04E,7,2642,9.7,6.9
A03E,1,2645,4.15,3.31
A03E,3,2646,15.41,10.51
A03E,5,2647,7.97,5.51
A03E,7,2648,6.44,4.57
A03W,0,2650,6.22,4.71
A03W,1,2651,10.41,7.36
A03W,3,2652,4.68,3.42
A03W,5,2653,2.87,2.14
A03W,7,2654,5.27,3.77
A01W,0,2656,9.53,6.64
A01W,1,2657,5.19,4.28
A01W,3,2658,6.26,4.41
A01W,5,2659,14.48,10.27
A01W,7,2660,19.54,12.86
A01E,1,2663,10.43,6.93
A01E,3,2664,14.86,10.21
A01E,5,2665,3.38,2.49
A01E,7,2666,10.05,7.16
A02W,0,2668,7.16,5.06
A02W,1,2669,5.19,3.69
A02W,3,2670,2.1,1.67
A02W,5,2671,9.2,6.7
A02W,7,2672,11.2,7.88
A02E,0,2674,1.84,1.42
A02E,1,2675,1.2,0.9
A02E,3,2676,2.06,1.43
A02E,5,2678,2.19,1.78
A02E,7,2679,4.87,3.71
A04W,0,2681,2.91,2.21
A04W,1,2682,4.15,2.9
A04W,3,2684,4.77,3.52
A04W,5,2685,4.05,2.89
A04W,7,2686,5.41,3.72
A04E,0,2688,2.29,1.51
A04E,1,2689,2.14,1.7
A04E,3,2690,5.38,3.99
A04E,5,2691,4.75,3.25
A04E,7,2692,3.64,2.33
