Year,Subplot,Subplot_mean_Asat,disturbance_severity,treatment,Replicate,Subcanopy_NPP
2019,A01E,3.199833333,85,B,A,217.8127001
2019,A01W,4.994333333,85,T,A,72.11165951
2019,A02E,4.023833333,45,T,A,286.9401729
2019,A02W,4.7945,45,B,A,248.1056279
2019,A03E,6.26,65,B,A,172.3611868
2019,A03W,4.925333333,65,T,A,317.7589313
2019,A04E,4.842166667,0,B,A,210.033231
2019,A04W,4.796166667,0,T,A,4.262110459
2019,B01E,5.324909091,0,B,B,135.5957807
2019,B01W,3.956666667,0,T,B,319.6719847
2019,B02E,5.0275,45,T,B,176.7685886
2019,B02W,4.737333333,45,B,B,92.84834249
2019,B03E,6.186166667,85,B,B,56.37376275
2019,B03W,5.344,85,T,B,116.1103263
2019,B04E,4.969846154,65,T,B,49.33598731
2019,B04W,4.636666667,65,B,B,65.52768885
2019,C01E,8.401965761,0,T,C,91.08095648
2019,C01W,7.019666667,0,B,C,16.59884587
2019,C02E,6.458161606,65,B,C,214.8418982
2019,C02W,6.462816092,65,T,C,37.8434408
2019,C03E,5.1226,85,B,C,103.0168297
2019,C03W,4.354333333,85,T,C,409.1311126
2019,C04E,5.133125201,45,T,C,13.76552815
2019,C04W,5.320195063,45,B,C,149.4527121
2019,D01E,5.92328974,0,B,D,51.56761874
2019,D01W,5.197141363,0,T,D,91.52875578
2019,D02E,7.637506422,85,B,D,19.13383222
2019,D02W,6.85129926,85,T,D,22.92262476
2019,D03E,6.96575,45,B,D,83.91816941
2019,D03W,6.744333333,45,T,D,66.16564503
2019,D04E,8.53516782,65,T,D,67.70082031
2019,D04W,9.237882894,65,B,D,37.57017902
2020,A01E,4.828166667,85,B,A,571.4749511
2020,A01W,7.034666667,85,T,A,515.0888285
2020,A02E,3.016041667,45,T,A,330.5172661
2020,A02W,6.955166667,45,B,A,1167.896823
2020,A03E,5.135636364,65,B,A,409.0150999
2020,A03W,4.260333333,65,T,A,872.8778378
2020,A04E,3.619454545,0,B,A,35.8218592
2020,A04W,3.774,0,T,A,4.764020773
2020,B01E,4.458545455,0,B,B,191.7686901
2020,B01W,4.439,0,T,B,240.0041123
2020,B02E,4.7865,45,T,B,315.5398798
2020,B02W,6.34575,45,B,B,272.3992917
2020,B03E,6.666666667,85,B,B,570.0719376
2020,B03W,5.8905,85,T,B,588.1206473
2020,B04E,4.988166667,65,T,B,124.0912678
2020,B04W,6.690333333,65,B,B,152.6986415
2020,C01E,5.508168333,0,T,C,36.75265679
2020,C01W,6.755333333,0,B,C,25.71248398
2020,C02E,4.697111111,65,B,C,528.8703035
2020,C02W,7.277283333,65,T,C,64.3132473
2020,C03E,5.377,85,B,C,61.98108278
2020,C03W,5.809818182,85,T,C,663.0273821
2020,C04E,6.366461538,45,T,C,69.91623595
2020,C04W,5.3208,45,B,C,158.6199075
2020,D01E,6.130290833,0,B,D,56.75074287
2020,D01W,7.3709795,0,T,D,98.39121516
2020,D02E,7.6509725,85,B,D,70.63210056
2020,D02W,8.475894545,85,T,D,186.6758884
2020,D03E,7.197,45,B,D,38.07546667
2020,D03W,6.379864286,45,T,D,76.8914951
2020,D04E,7.703647455,65,T,D,70.99045464
2020,D04W,8.479967385,65,B,D,37.49976524
2021,A01E,4.323333333,85,B,A,1509.298679
2021,A01W,6.835,85,T,A,701.3466065
2021,A02E,3.371333333,45,T,A,472.9726984
2021,A02W,7.468833333,45,B,A,1800.845309
2021,A03E,5.856833333,65,B,A,553.5354707
2021,A03W,4.357,65,T,A,2419.15669
2021,A04E,4.445636364,0,B,A,86.34794925
2021,A04W,4.019166667,0,T,A,10.19992388
2021,B01E,4.334909091,0,B,B,198.54166
2021,B01W,3.5925,0,T,B,672.3511055
2021,B02E,5.301,45,T,B,237.3100278
2021,B02W,7.48525,45,B,B,751.6435489
2021,B03E,6.480333333,85,B,B,490.1069658
2021,B03W,4.762816667,85,T,B,900.0572419
2021,B04E,4.537333333,65,T,B,172.6425502
2021,B04W,6.138166667,65,B,B,409.5595732
2021,C01E,4.956063851,0,T,C,22.49992842
2021,C01W,6.3905,0,B,C,20.94933365
2021,C02E,6.912599185,65,B,C,913.2912546
2021,C02W,6.61523913,65,T,C,180.8632584
2021,C03E,7.5256,85,B,C,375.7348321
2021,C03W,7.658181818,85,T,C,1678.723113
2021,C04E,8.600014029,45,T,C,97.02380658
2021,C04W,5.910270396,45,B,C,197.9175684
2021,D01E,7.09921152,0,B,D,63.16949267
2021,D01W,9.229162212,0,T,D,58.18643403
2021,D02E,9.053037734,85,B,D,197.4431662
2021,D02W,8.921870449,85,T,D,369.0510419
2021,D03E,6.8065,45,B,D,19.01131953
2021,D03W,7.536442195,45,T,D,92.42992448
2021,D04E,12.16037849,65,T,D,192.7725159
2021,D04W,10.18136323,65,B,D,48.68448459
