subplot_id,nested_subplot,Photo#,gap_fraction,openness,year
D04E,0,2500,38.14,38.36,2020
D04E,1,2501,61.94,64.95,2020
D04E,3,2502,21.04,21.01,2020
D04E,5,2503,52.62,55.28,2020
D04E,7,2504,34.65,34.76,2020
D04W,0,2506,29.44,28.54,2020
D04W,1,2507,50.27,51.99,2020
D04W,3,2508,56.32,59.35,2020
D04W,5,2509,54,56.27,2020
D04W,7,2510,52.85,54.8,2020
D02E,0,2512,38.67,39.74,2020
D02E,1,2513,51.29,52.64,2020
D02E,3,2514,19.24,19.22,2020
D02E,5,2515,34.36,34.68,2020
D02E,7,2516,33.41,34.1,2020
D02W,0,2518,27.3,28.61,2020
D02W,1,2519,47.96,50.18,2020
D02W,3,2520,8.85,8.64,2020
D02W,5,2521,45.65,47.4,2020
D02W,7,2522,46.92,48.2,2020
C01W,0,2524,14.53,14.78,2020
C01W,1,2525,10.43,10.72,2020
C01W,3,2526,12.56,13.3,2020
C01W,5,2527,13.22,13.8,2020
C01W,7,2528,15.68,15.97,2020
C01E,0,2530,11.33,11.93,2020
C01E,1,2531,10.72,10.82,2020
C01E,3,2532,12.28,12.85,2020
C01E,5,2533,7.67,8.09,2020
C01E,7,2534,11.15,11.44,2020
C02E,0,2536,9.33,9.12,2020
C02E,1,2537,15.79,16.41,2020
C02E,3,2538,10.34,10.75,2020
C02E,5,2539,13.1,13.45,2020
C02E,7,2540,9.77,10.36,2020
C02W,0,2542,15.35,16.36,2020
C02W,1,2543,14.21,14.49,2020
C02W,3,2544,7.57,7.29,2020
C02W,5,2545,16.61,17.1,2020
C02W,7,2546,5.73,5.36,2020
C03W,0,2548,11.01,10.9,2020
C03W,1,2549,24.45,25.44,2020
C03W,3,2550,7.89,8.09,2020
C03W,5,2551,9.67,9.57,2020
C03W,7,2552,5.94,5.84,2020
C03E,0,2554,22.74,22.98,2020
C03E,1,2555,24.11,24.35,2020
C03E,3,2556,32.52,33.49,2020
C03E,5,2557,32.29,34.19,2020
C03E,7,2558,22.48,24.41,2020
C04W,0,2560,15.14,15.35,2020
C04W,1,2561,16.83,16.94,2020
C04W,3,2562,11.45,10.92,2020
C04W,5,2563,13.3,13.49,2020
C04W,7,2564,9.67,9.63,2020
C04E,0,2566,27.65,27.93,2020
C04E,1,2567,32.99,34.75,2020
C04E,3,2568,37.07,39.3,2020
C04E,5,2569,8.63,8.24,2020
C04E,7,2570,21.08,22.19,2020
D03E,0,2572,23.15,23.74,2020
D03E,1,2573,31.14,33.13,2020
D03E,3,2574,22.07,22.31,2020
D03E,5,2575,31.13,32.57,2020
D03E,7,2576,16.39,16.21,2020
D03W,1,2578,30.93,31.77,2020
D03W,3,2579,7.53,7.26,2020
D03W,5,2580,5.44,5.21,2020
D03W,7,2581,24.94,24.98,2020
D01E,0,2583,15.18,15.05,2020
D01E,1,2584,21.69,22.67,2020
D01E,3,2585,15.05,14.88,2020
D01E,5,2586,16.17,15.98,2020
D01E,7,2587,19.21,18.95,2020
D01W,0,2589,21.38,21.73,2020
D01W,1,2590,17.89,18.16,2020
D01W,3,2591,18.86,18.77,2020
D01W,5,2592,23.44,24.09,2020
D01W,7,2593,24.43,24.51,2020
B02E,0,2595,6.24,6.33,2020
B02E,1,2596,8.15,6.03,2020
B02E,3,2597,9.28,9.57,2020
B02E,5,2598,4.49,4.68,2020
B02E,7,2599,10.82,11.09,2020
B02W,0,2601,20.09,20.98,2020
B02W,1,2602,28.12,29.68,2020
B02W,3,2603,12,12.58,2020
B02W,5,2604,20.64,22.16,2020
B02W,7,2605,26.87,28.87,2020
B01W,0,2607,3.71,3.95,2020
B01W,1,2608,5.24,5.27,2020
B01W,3,2609,6.69,7.1,2020
B01W,5,2610,6.4,6.47,2020
B01W,7,2611,5,5.12,2020
B01E,0,2613,7.68,8.01,2020
B01E,1,2614,13.95,14.86,2020
B01E,3,2615,14.44,14.9,2020
B01E,5,2616,8.2,8.2,2020
B01E,7,2617,7.61,7.85,2020
B03W,0,2619,9.98,10.41,2020
B03W,1,2620,20.69,22.26,2020
B03W,3,2621,7.51,7.68,2020
B03W,5,2623,17.42,18.3,2020
B03W,7,2624,8.5,8.86,2020
B03E,0,2626,9.12,9.29,2020
B03E,1,2627,11.76,12.08,2020
B03E,3,2628,11.42,11.8,2020
B03E,5,2629,7.47,7.58,2020
B03E,7,2630,7.2,7.31,2020
B04W,0,2631,14.43,14.79,2020
B04W,1,2633,11.13,11.54,2020
B04W,3,2634,12.77,13.15,2020
B04W,5,2635,11.06,11.78,2020
B04W,7,2636,5.87,6.07,2020
B04E,0,2638,13.14,13.64,2020
B04E,1,2639,12.14,12.12,2020
B04E,3,2640,13.22,13.92,2020
B04E,5,2641,10.4,10.66,2020
B04E,7,2642,13.65,14.32,2020
A03E,1,2645,4.84,4.81,2020
A03E,3,2646,20.27,21.59,2020
A03E,5,2647,11,11.7,2020
A03E,7,2648,8.77,9.45,2020
A03W,0,2650,7.98,8.11,2020
A03W,1,2651,13.75,14.73,2020
A03W,3,2652,5.91,6.13,2020
A03W,5,2653,3.71,3.95,2020
A03W,7,2654,7.27,7.73,2020
A01W,0,2656,12.53,13.23,2020
A01W,1,2657,6.55,6.46,2020
A01W,3,2658,8.34,8.73,2020
A01W,5,2659,19.23,20.41,2020
A01W,7,2660,24.54,27.18,2020
A01E,1,2663,14.18,15.68,2020
A01E,3,2664,20.86,22.33,2020
A01E,5,2665,4.23,4.34,2020
A01E,7,2666,14.66,15.79,2020
A02W,0,2668,10.62,11.34,2020
A02W,1,2669,7.88,8.33,2020
A02W,3,2670,2.34,2.37,2020
A02W,5,2671,11.56,11.92,2020
A02W,7,2672,17.18,18.21,2020
A02E,0,2674,2.32,2.37,2020
A02E,1,2675,1.48,1.52,2020
A02E,3,2676,2.65,2.82,2020
A02E,5,2678,2.49,2.47,2020
A02E,7,2679,6.03,6.29,2020
A04W,0,2681,3.34,3.41,2020
A04W,1,2682,6.13,6.45,2020
A04W,3,2684,6.34,6.59,2020
A04W,5,2685,6.9,7.28,2020
A04W,7,2686,7.94,8.44,2020
A04E,0,2688,3.55,3.84,2020
A04E,1,2689,2.5,2.47,2020
A04E,3,2690,6.37,6.57,2020
A04E,5,2691,6.21,6.55,2020
A04E,7,2692,5.39,5.89,2020
